,loss,train_accuracy,test_accuracy,w1_mean,w1_std,w2_mean,w2_std,MSE,term_I,term_II,term_IV,MSE_star,term_I_star,term_II_star,term_IV_star,MSE_diamond,term_I_diamond,term_II_diamond,term_IV_diamond
445,0.0346156470477581,0.85445,0.8612,-3.828037733910605e-05,0.020497683435678482,-0.0003165795060340315,0.029542427510023117,0.6951809999999998,0.039448,0.152909,0.497176,0.3689849999999999,0.000268,0.152909,0.784192,0.5322870000000001,0.000172,0.149861,0.617746
446,0.03461320325732231,0.8543833333333334,0.8612,-3.828162880381569e-05,0.02049766294658184,-0.0003165672824252397,0.029541408643126488,0.6952159999999998,0.039461,0.152931,0.497176,0.36900599999999995,0.000267,0.152931,0.784192,0.5323079999999999,0.000171,0.149883,0.617746
447,0.03461076691746712,0.8543666666666667,0.8612,-3.828289482044056e-05,0.020497646182775497,-0.00031655511702410877,0.029540393501520157,0.6952499999999999,0.039474,0.152952,0.497176,0.36902499999999994,0.000265,0.152952,0.784192,0.5323289999999999,0.000171,0.149904,0.617746
448,0.03460834175348282,0.8543666666666667,0.8612,-3.828413537121378e-05,0.020497629418969154,-0.00031654295162297785,0.029539382085204124,0.6952849999999999,0.039487,0.152974,0.497176,0.369046,0.000264,0.152974,0.784192,0.5323490000000001,0.00017,0.149925,0.617746
449,0.034605927765369415,0.85435,0.8612,-3.8285415939753875e-05,0.020497608929872513,-0.0003165306698065251,0.029538379982113838,0.6953199999999999,0.0395,0.152996,0.497176,0.36906700000000003,0.000263,0.152996,0.784192,0.5323699999999999,0.000169,0.149947,0.617746
450,0.03460352122783661,0.8543333333333333,0.8612,-3.828671469818801e-05,0.02049759216606617,-0.0003165182424709201,0.029537377879023552,0.695354,0.039513,0.153017,0.497176,0.36908699999999994,0.000262,0.153017,0.784192,0.532391,0.000169,0.149968,0.617746
451,0.0346011258661747,0.8543666666666667,0.8612,-3.828799890470691e-05,0.020497577264904976,-0.00031650569871999323,0.029536383226513863,0.6953879999999999,0.039526,0.153038,0.497176,0.3691070000000001,0.000261,0.153038,0.784192,0.5324110000000001,0.000168,0.149989,0.617746
452,0.03459874168038368,0.85435,0.8611,-3.8289294025162235e-05,0.020497558638453484,-0.0003164932131767273,0.02953539416193962,0.6954229999999999,0.039539,0.15306,0.497176,0.3691279999999999,0.00026,0.15306,0.784192,0.532431,0.000167,0.15001,0.617746
453,0.034596361219882965,0.8543333333333333,0.8612,-3.829054185189307e-05,0.020497538149356842,-0.0003164808149449527,0.02953440696001053,0.6954559999999999,0.039551,0.153081,0.497176,0.36914800000000003,0.000259,0.153081,0.784192,0.5324509999999999,0.000166,0.150031,0.617746
454,0.03459399566054344,0.8543166666666666,0.8612,-3.829179331660271e-05,0.0204975213855505,-0.00031646841671317816,0.029533429071307182,0.6954909999999999,0.039564,0.153103,0.497176,0.3691690000000001,0.000258,0.153103,0.784192,0.532472,0.000166,0.150052,0.617746
455,0.034591637551784515,0.8543,0.8614,-3.829305569524877e-05,0.020497504621744156,-0.00031645578565075994,0.029532451182603836,0.695525,0.039577,0.153124,0.497176,0.369189,0.000257,0.153124,0.784192,0.5324920000000001,0.000165,0.150073,0.617746
456,0.034589286893606186,0.8543,0.8614,-3.829431443591602e-05,0.020497487857937813,-0.0003164431545883417,0.029531480744481087,0.6955579999999999,0.039589,0.153145,0.497176,0.3692090000000001,0.000256,0.153145,0.784192,0.532512,0.000164,0.150094,0.617746
457,0.03458694368600845,0.8543166666666666,0.8614,-3.8295562262646854e-05,0.02049746923148632,-0.0003164303780067712,0.029530514031648636,0.695592,0.039602,0.153166,0.497176,0.36922900000000003,0.000255,0.153166,0.784192,0.532533,0.000164,0.150115,0.617746
